# 알림시각	종목	방향	신호봉시각	RSI	현재가	손절	목표
2026-07-11T18:29:05.299Z	ETH	숏	2026-07-11T17:00:00.000Z	75.1	1,826.1	1,840.1	1,798.0
2026-07-14T17:49:44.323Z	BTC	숏	2026-07-14T16:00:00.000Z	75.8	64,486.0	65,097.2	63,263.6
2026-07-14T19:59:34.732Z	ETH	숏	2026-07-14T18:00:00.000Z	75.7	1,877.8	1,901.5	1,830.5
2026-07-14T23:32:03.488Z	BTC	숏	2026-07-14T22:00:00.000Z	75.3	64,903.0	65,471.4	63,766.2
2026-07-18T21:09:33.645Z	BTC	숏	2026-07-18T20:00:00.000Z	75.5	64,638.0	64,917.7	64,078.5
2026-07-19T12:34:03.909Z	SCANNER_FAIL	-	-	전 종목(3개) 조회 실패
2026-07-26T15:31:33.591Z	ETH	숏	2026-07-26T14:00:00.000Z	75.6	1,906.1	1,915.2	1,887.8
2026-07-26T22:31:36.924Z	ETH	숏	2026-07-26T21:00:00.000Z	80.5	1,939.1	1,950.8	1,915.7
2026-08-05T18:14:31.398Z	ETH	숏	2026-08-05T17:00:00.000Z	75.1	1,919.3	1,938.7	1,880.5
2026-08-08T12:18:10.986Z	SOL	숏	2026-08-08T11:00:00.000Z	77.0	75.49	76.02	74.42
2026-08-08T15:14:07.482Z	SOL	숏	2026-08-08T14:00:00.000Z	81.1	76.52	77.10	75.35
2026-08-09T16:04:35.474Z	SOL	숏	2026-08-09T15:00:00.000Z	78.6	77.39	77.91	76.34
2026-08-19T18:29:29.212Z	BTC	숏	2026-08-19T17:00:00.000Z	84.7	68,255.0	69,113.0	66,538.9
2026-08-19T18:29:30.697Z	ETH	숏	2026-08-19T17:00:00.000Z	91.9	2,085.5	2,118.4	2,019.8
2026-08-19T18:29:32.322Z	SOL	숏	2026-08-19T17:00:00.000Z	85.3	81.86	82.92	79.74
2026-08-19T22:16:40.206Z	ETH	숏	2026-08-19T21:00:00.000Z	96.7	2,273.5	2,329.0	2,162.5
